,MAD,cox_pval_adj,elasticnet_coef
hsa-miR-24-3p,0.5396569333106509,0.03538614479528521,0.0
hsa-miR-25-3p,0.5864149852774889,1.8175209937691778e-05,0.0
hsa-miR-26a-1-3p,0.20161365611029697,0.031721106387042494,0.0
hsa-miR-26a-2-3p,0.39022661932736624,0.31582136751461193,
hsa-miR-26a-5p,0.608763297841351,4.157345435648876e-10,0.0
hsa-miR-26b-3p,0.6339327889803865,4.0443324365155973e-13,-0.01108045570198678
hsa-miR-26b-5p,0.6060100035137329,2.425792899884982e-11,0.0
hsa-miR-27a-3p,0.5294655041563875,0.8074392183214113,
hsa-miR-27a-5p,0.4479118236961045,3.3238054708562004e-07,0.0011018271040213272
hsa-miR-27b-3p,0.581910668945815,0.0018403999648468445,0.014342624045054408
hsa-miR-27b-5p,0.6227190210556597,1.0,
hsa-miR-28-3p,0.580465703993688,0.0037633785358162086,0.0
hsa-miR-28-5p,0.5776737006615926,0.0274200613898108,0.0440740356842078
hsa-miR-296-5p,0.17688109612659259,0.5578799905091535,
hsa-miR-299-5p,0.1372314296551792,7.676355666981063e-07,-0.01907424849493686
hsa-miR-29a-3p,0.5978329073598054,3.6931798988867016e-09,0.0
hsa-miR-29a-5p,0.45973481989527243,1.0664916334672643e-08,-0.04339390464481748
hsa-miR-29b-1-5p,0.41230514462520496,0.5589246796312959,
hsa-miR-29b-2-5p,0.698763693559159,3.085714285714286e-299,0.0
hsa-miR-29b-3p,0.576894782822627,5.225293881793684e-13,0.0
hsa-miR-29c-3p,0.6013987508143225,2.7e-299,-0.09207956853046015
hsa-miR-29c-5p,0.6850192025505091,2.88e-299,0.0
hsa-miR-301a-3p,0.4914297267832455,0.6353236679083584,
hsa-miR-301a-5p,0.23515678115210503,0.04264340393847179,-0.002638984498007293
hsa-miR-3065-3p,0.6539245198872726,0.0016335210358896567,0.11399878385612941
hsa-miR-3065-5p,0.21468217835128794,1.0,
hsa-miR-3074-5p,0.5728647853701162,2.559296527590946e-05,0.0
hsa-miR-30a-3p,0.6560871269724423,4.4535803616391996e-14,0.0
hsa-miR-30a-5p,0.6461009877401898,7.772244386545096e-13,0.17375257482452744
hsa-miR-30b-3p,0.4850780157016866,3.323076923076923e-299,-0.04999752225370635
hsa-miR-30b-5p,0.6218990267662715,8.105516258183343e-13,0.0
hsa-miR-30c-1-3p,0.17624303852752077,2.75294953729795e-08,-0.013249273626852782
hsa-miR-30c-2-3p,0.7060262335722784,1.0658141036401503e-14,0.0
hsa-miR-30c-5p,0.6363476355986315,5.4e-299,0.0
hsa-miR-30d-3p,0.6160679815689236,3.4638958368304884e-13,-0.01262871924366933
hsa-miR-30d-5p,0.6238321013984537,1.362110424452112e-11,0.0
hsa-miR-30e-3p,0.6052321871702413,4.919195485735659e-12,0.0
hsa-miR-30e-5p,0.6100164096434337,3.096951266862951e-13,0.0
hsa-miR-31-5p,0.2156221016012047,2.476089030732368e-05,-0.05466307798326379
hsa-miR-3127-5p,0.4794057327201766,1.0,
hsa-miR-3130-5p,0.11693782066911226,1.0,
hsa-miR-3170,0.2116676421971893,1.0,
hsa-miR-32-3p,0.17823196711166986,1.0,
hsa-miR-32-5p,0.5549922754486218,0.000584257210149632,0.025180654099486523
hsa-miR-3200-3p,0.28164882892070364,0.17060963883777489,
hsa-miR-320a,0.5828360485527414,2.3095100623763479e-07,0.0
hsa-miR-320b,0.5156759922596034,0.6042079831063569,
hsa-miR-320c,0.1618033753259961,1.0,
hsa-miR-323a-3p,0.15840952863711166,4.68539886329627e-05,0.03700224585206378
hsa-miR-323b-3p,0.17563658254352993,0.006173913685037422,-0.010581276266344747
hsa-miR-324-3p,0.612245551384661,0.0005722020916466202,0.022082221694101664
hsa-miR-324-5p,0.5552565454474486,0.3847499263800588,
hsa-miR-326,0.40491339407218807,0.7576607459465682,
hsa-miR-328-3p,0.6964733821673066,6.171428571428572e-299,0.0
hsa-miR-330-3p,0.41274775891142024,0.8518938615331153,
hsa-miR-330-5p,0.5872101446606056,0.0005644591219982382,0.12027616872497864
hsa-miR-331-3p,0.6213299240800346,0.0014680231541337639,0.11326974708781273
hsa-miR-331-5p,0.35740048793526225,0.014206190649157216,0.0
hsa-miR-335-3p,0.5234374220457649,0.08506649715148584,
hsa-miR-335-5p,0.3709391331714583,0.0245472324266832,0.06601066396804844
hsa-miR-337-3p,0.37544895862304795,0.2611492177678944,
hsa-miR-338-3p,0.6297769938152197,0.007883495226705953,0.16123357995179738
hsa-miR-338-5p,0.3210663263120354,0.5635113934386695,
hsa-miR-339-3p,0.5900598059335838,0.0004647068601470179,0.006307286319375023
hsa-miR-339-5p,0.5835633496769399,0.9925229265394394,
hsa-miR-33a-3p,0.18095036741748188,1.0,
hsa-miR-33a-5p,0.3606617062061498,0.75678851627866,
hsa-miR-33b-5p,0.20572468251256004,1.0,
hsa-miR-340-3p,0.5566430356478604,4.075142687298694e-06,0.0
hsa-miR-340-5p,0.6121770501451379,0.0003091774946636473,0.0
hsa-miR-342-3p,0.634605817839214,7.068885476968489e-10,-0.08105038008020796
hsa-miR-342-5p,0.507603021311449,2.2681328513465144e-11,-0.040883810063434216
hsa-miR-345-5p,0.5627647875243464,0.079913034382881,
hsa-miR-34a-5p,0.6089938245927043,8.22805516520475e-06,0.0
hsa-miR-34c-3p,0.18881185417133556,0.0002055178412562785,0.011577505874994972
hsa-miR-34c-5p,0.19567414002434386,0.03093826295150414,0.029498982627937192
hsa-miR-3605-3p,0.23321690194104314,0.03471591766458901,0.05478719197929052
hsa-miR-3607-3p,0.593695605275253,3.6893565126005205e-15,0.0
hsa-miR-361-3p,0.6178531716870715,2.6412708671371144e-08,0.0
hsa-miR-361-5p,0.6042504594453091,2.0059974551021815e-09,0.0
hsa-miR-3613-5p,0.4794575761337977,0.04389199234124503,-0.021626621315424588
hsa-miR-3615,0.3086595478383801,3.739813816260096e-05,0.030920316020299862
hsa-miR-362-3p,0.22643457898405867,1.0,
hsa-miR-362-5p,0.5834209612156077,0.29147091371816325,
hsa-miR-363-3p,0.5119503707870786,1.3681206615362513e-09,0.0
hsa-miR-3653,0.5725172793345312,0.0005189016687564498,0.0
hsa-miR-365a-3p,0.6721394990670012,1.0,
hsa-miR-365b-3p,0.6708518332929702,1.0,
hsa-miR-3677-3p,0.4910744564882604,9.762927816012298e-05,0.0
hsa-miR-369-3p,0.12502051010978849,1.5577063828748073e-05,0.0010886374561793774
hsa-miR-369-5p,0.14067275776852212,0.0005328232619603721,0.0
hsa-miR-370-3p,0.1439170580286142,0.004941359924077845,0.0
hsa-miR-370-5p,0.15261359593972007,1.0,
hsa-miR-374a-3p,0.6063098463038629,4.008986008028768e-09,-0.12250078507159651
hsa-miR-374a-5p,0.5711434580333882,3.519784549535895e-07,0.0
hsa-miR-374b-3p,0.2503562955141416,0.019170124097620637,-0.00631519769945
hsa-miR-374b-5p,0.6256485612152267,1.1153796266341223e-08,0.0
hsa-miR-375,0.6709219461684283,3.89200511112096e-05,-0.0635918996757085
hsa-miR-376c-3p,0.12437087443950029,8.352397155726846e-06,0.016792337512440244
hsa-miR-378a-3p,0.6715833055773659,1.0,
hsa-miR-378a-5p,0.6403676810010168,0.2054323995191128,
hsa-miR-378c,0.45581483439772286,0.4734731967899941,
hsa-miR-379-5p,0.5741821856145155,1.0,
hsa-miR-381-3p,0.3730935005467923,0.0008811254584017258,0.039191312464808746
hsa-miR-382-5p,0.2624424424649443,0.0008992748541844458,0.04580967699612354
hsa-miR-3913-5p,0.3293915060391636,0.008799384951447168,-0.027061166895743918
hsa-miR-3928-3p,0.17692289604027794,1.0,
hsa-miR-409-3p,0.3337643940627577,0.0005903061482701033,0.02389652609410665
hsa-miR-409-5p,0.2775581297862826,1.0,
