,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15
TCGA-09-2044-01,-4.266139229259131,-3.5211878391681766,0.7106487907863043,-1.817865535755471,0.5904987483668721,-2.0825393864974933,0.2985597012378353,-2.8379603612049413,4.264444627469366,-2.3752990992519454,-0.6269890861117915,-0.6251731637490654,-2.4461409107854255,1.3602533103197418,-0.2580341098691473
TCGA-13-1477-01,2.891088191412282,0.2306828750184739,-3.4555892606038214,-4.108343184747514,1.8059280586936761,1.2669833431044015,2.411744075185219,-0.3730926696560445,5.46123306438336,-0.6364539157199346,-3.1122944122327416,0.16023109295945745,-0.09700816016801844,1.0629695596523225,-0.9512790548978841
TCGA-13-1505-01,2.962236658609614,0.7153091639559573,2.1400424861297367,-2.3688083615150597,0.544089145808618,-1.9845314334923894,2.051952400487079,-1.369814628674405,3.79339765995199,-1.2512676432544716,-1.5490455942139993,-0.11722750357251355,-0.7341867722867772,1.4058248604212822,-1.271504158797909
TCGA-13-A5FT-01,-0.2802393441167656,-2.7188899757318215,0.5310083928364204,-2.056197589613675,0.00457714927218887,-2.4659152479618216,2.101970235633331,-0.8083196253948062,0.6207931568788718,1.453122106510375,0.6782342030844699,-1.553266031046368,-0.6169730146915121,-0.46958863377459653,0.6994350051308793
TCGA-18-3407-01,-0.37927129473329985,-3.026876331017662,1.7338007571252134,0.15150088533796555,-2.3506545567536152,2.3505370904705214,-1.5341315693974504,2.0234965294848286,-0.2943660668126477,-2.891525585481155,0.8715167156080678,-0.16535689174463664,-0.053806657218581834,-2.188245322168763,1.382445831367972
TCGA-18-3410-01,-0.015138830328600401,-4.0558118334342925,2.561699294074351,0.35116706470163656,-2.6877194584197923,2.559776696923843,0.4085049762858164,0.9624614068566337,0.7040994528007551,-1.8480034999785853,2.1552672833608706,1.4532063662455827,-0.1461334594577123,-0.4496483582889754,1.1513015027818785
TCGA-18-3411-01,4.352914520594209,-4.057404694746723,-0.9601481730539081,1.5319719115086086,1.1931022724042202,-1.0693932661041337,-1.5163226700753505,-0.8257733919518057,1.1656649860597443,-2.689902195181719,-0.5446948530990011,0.8388932821574303,1.1961325692116112,-0.5981294433654682,1.3818284169321131
TCGA-18-3412-01,0.07240322293507113,-3.9053127458990327,-0.6819936956914658,0.34320612734314976,-0.1543830490641331,-2.3127044937221517,-0.46362854680566823,-0.5317389567539532,-0.5089811055155988,-2.169941631012171,0.18985501402431387,-1.1777435061593016,0.23512516000828532,-1.5447759374231542,1.827198770722737
TCGA-18-3414-01,-2.938163814499175,-8.228228364959774,3.0428057597299714,1.5169085030896445,-1.9073943599984091,2.7001978124406962,1.5764549817091598,0.9029131695258719,-0.02720872828278072,-0.866284823994182,0.8743118487447504,1.2601067121730671,0.9304919931720812,-2.6726791951738305,-2.8083413744617522
TCGA-18-3415-01,7.632770304580792,-0.8335237392219567,0.09667855128257138,0.5785793034379427,0.7308559527943242,-1.122008713226796,-2.172534179448993,-0.5063852057903873,0.5241667361823085,-1.9916431761990137,-0.9308453914058276,1.1149541906984772,1.4211994724427217,-1.1372271211115343,0.24137287725080875
TCGA-18-3416-01,0.5605050177753998,-5.415976457951222,-0.08702147534306857,2.3688556808846943,-6.696763261148521,1.3669759378539603,2.0644495433129184,0.45911737664066776,-0.21711779575041118,-3.501691074601198,3.669807612638468,1.2214233962411585,1.1008898746882767,-0.3742286599545942,-1.9671763283509722
